Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-JUNE-2026,RC9,NHS ENGLAND EAST OF ENGLAND ,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,18544,0,8458,0,0,0,6944,0,0,0,0,0,83,70,5291,0,0,2438
MSitAE-JUNE-2026,RDR,NHS ENGLAND SOUTH EAST ,SUSSEX COMMUNITY NHS FOUNDATION TRUST,0,0,12817,0,0,0,0,0,401,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2026,REM,NHS ENGLAND NORTH WEST ,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,16419,1959,8172,528,0,0,8204,9,316,228,0,0,781,1229,4915,0,0,2514
MSitAE-JUNE-2026,REP,NHS ENGLAND NORTH WEST ,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,0,1462,0,0,0,0,0,159,0,0,0,0,0,0,0,107,0,17
MSitAE-JUNE-2026,RET,NHS ENGLAND NORTH WEST ,THE WALTON CENTRE NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181
MSitAE-JUNE-2026,RGT,NHS ENGLAND EAST OF ENGLAND ,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,12015,0,5849,306,0,287,5656,0,172,85,0,17,565,445,2822,0,33,442
MSitAE-JUNE-2026,RH5,NHS ENGLAND SOUTH WEST ,SOMERSET NHS FOUNDATION TRUST,12096,0,9868,0,0,46,6108,0,352,0,0,0,611,109,3082,0,0,1781
MSitAE-JUNE-2026,RJL,NHS ENGLAND NORTH EAST AND YORKSHIRE ,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,10862,0,6835,0,0,426,5433,0,147,0,0,8,493,729,5411,0,0,445
MSitAE-JUNE-2026,RKE,NHS ENGLAND LONDON,WHITTINGTON HEALTH NHS TRUST,9439,0,0,0,0,0,2838,0,0,0,0,0,252,276,1334,0,0,38
MSitAE-JUNE-2026,RMP,NHS ENGLAND NORTH WEST ,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,9061,0,2147,432,0,166,4339,0,52,0,0,0,361,447,1516,0,0,298
