date,metric,value,source
2012-03-01,type_1_departments_major_ae,1263082.2857142864,NHS England A&E
2012-03-01,total_emergency_admissions_via_ae,326064.5714285715,NHS England A&E
2012-03-01,type_2_departments_single_specialty,58574.28571428571,NHS England A&E
2012-03-01,emergency_admissions_via_type_1_ae,319222.57142857125,NHS England A&E
2012-03-01,emergency_admissions_via_type_2_ae,3365.8571428571454,NHS England A&E
2012-03-01,type_3_departments_other_ae_minor_injury_unit,611496.2857142857,NHS England A&E
2012-03-01,number_of_patients_spending_12_hours_from_decision_to_admit_to_admission,0.9999999999999998,NHS England A&E
2012-03-01,emergency_admissions_via_type_3_and_4_ae,3476.142857142858,NHS England A&E
2012-03-01,number_of_patients_spending_4_hours_from_decision_to_admit_to_admission,10198.714285714284,NHS England A&E
2012-03-01,total_attendances,1933152.8571428568,NHS England A&E
2012-03-01,operational_standard_performance,0.95,NHS England A&E
2012-03-01,other_emergency_admissions_ie_not_via_ae,128331.42857142849,NHS England A&E
2012-03-01,total_emergency_admissions,454396.0,NHS England A&E
2012-04-01,emergency_admissions_via_type_3_and_4_ae,2419.714285714286,NHS England A&E
2012-04-01,emergency_admissions_via_type_1_ae,302599.0,NHS England A&E
2012-04-01,operational_standard_performance,0.95,NHS England A&E
2012-04-01,other_emergency_admissions_ie_not_via_ae,116423.57142857143,NHS England A&E
2012-04-01,total_emergency_admissions,424128.85714285733,NHS England A&E
2012-04-01,total_emergency_admissions_via_ae,307705.28571428574,NHS England A&E
2012-04-01,number_of_patients_spending_12_hours_from_decision_to_admit_to_admission,0.0,NHS England A&E
2012-04-01,type_3_departments_other_ae_minor_injury_unit,568200.2857142856,NHS England A&E
2012-04-01,type_2_departments_single_specialty,51689.285714285725,NHS England A&E
2012-04-01,type_1_departments_major_ae,1149633.714285714,NHS England A&E
2012-04-01,number_of_patients_spending_4_hours_from_decision_to_admit_to_admission,10131.714285714292,NHS England A&E
2012-04-01,total_attendances,1769523.2857142854,NHS England A&E
2012-04-01,emergency_admissions_via_type_2_ae,2686.5714285714294,NHS England A&E
2012-05-01,type_2_departments_single_specialty,56416.7142857143,NHS England A&E
2012-05-01,other_emergency_admissions_ie_not_via_ae,122744.71428571429,NHS England A&E
2012-05-01,emergency_admissions_via_type_2_ae,2748.285714285714,NHS England A&E
