metric,raw_metric_name,quarter,type,value,ci_lower,ci_upper
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2017-10-01,history,0.8898867026309486,,
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2018-01-01,history,0.8778580914430871,,
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2018-04-01,history,0.8784092665364404,,
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2018-07-01,history,0.8725093341972753,,
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2018-10-01,history,0.8699905810528711,,
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2019-01-01,history,0.8680602118532136,,
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2019-04-01,history,0.8656767019277772,,
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2019-07-01,history,0.8519139153606478,,
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2019-10-01,history,0.84228644269721,,
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2020-01-01,history,0.8210334828144591,,
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2020-04-01,history,0.618113354587406,,
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2020-07-01,history,0.5366000952552406,,
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2020-10-01,history,0.6715194262747293,,
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2021-01-01,history,0.6501205449851303,,
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2021-04-01,history,0.6693019094595916,,
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2021-07-01,history,0.6746362446457924,,
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2021-10-01,history,0.6501066882601473,,
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2022-01-01,history,0.622613005381576,,
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2022-04-01,history,0.6247246186274826,,
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2022-07-01,history,0.6041617165140524,,
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2022-10-01,history,0.5941373033805367,,
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2023-01-01,history,0.5849588400777378,,
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2023-04-01,history,0.5899677689813038,,
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2023-07-01,history,0.580892376669217,,
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2023-10-01,history,0.5766860764121512,,
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2024-01-01,history,0.5712323022896998,,
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2024-04-01,history,0.5873499594367415,,
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2024-07-01,history,0.5853020597326464,,
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2024-10-01,history,0.5900901954348851,,
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2025-01-01,history,0.5927221351655713,,
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2025-04-01,history,0.6072967990790449,,
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2025-07-01,history,0.6131319630174897,,
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2025-10-01,history,0.6159842002510435,,
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2026-01-01,history,0.6308996248799554,,
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2026-04-01,history,0.649493296822923,,
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2026-06-30,forecast,0.649493296822923,0.5808944149308707,0.7198970885392822
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2026-09-30,forecast,0.6496721250093582,0.5530084735356617,0.7495879397587981
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2026-12-31,forecast,0.6501872569493878,0.5318208150205422,0.7725805080982246
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2027-03-31,forecast,0.6510066637140983,0.5141004428631253,0.7921057900799485
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2027-06-30,forecast,0.6520983163745757,0.49859585776237814,0.8094152850050026
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2027-09-30,forecast,0.6534301860019064,0.4846652146842227,0.825150837907465
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2027-12-31,forecast,0.6549702436671765,0.47192722823752814,0.8396937341784666
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2028-03-31,forecast,0.6566864604414723,0.4601334698970144,0.8532924023432873
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2028-06-30,forecast,0.65854680739588,0.4491113806196868,0.8661194014449218
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2028-09-30,forecast,0.6605192556014859,0.43873532121667935,0.8783003706722363
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2028-12-31,forecast,0.6625717761293762,0.42891044424894215,0.8899301574642804
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2029-03-31,forecast,0.6646723400506371,0.4195630626910823,0.9010824488464472
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2029-06-30,forecast,0.666788918436355,0.41063457712006163,0.9118158442417749
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2029-09-30,forecast,0.6688894823576159,0.4020774753489514,0.922177855837192
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2029-12-31,forecast,0.6709420028855062,0.39385260052338344,0.932207640487067
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2030-03-31,forecast,0.6729144510911121,0.3859272282005554,0.941937922634202
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2030-06-30,forecast,0.6747747980455199,0.3782736775641634,0.9513963830949009
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2030-09-30,forecast,0.6764910148198157,0.37086828590698107,0.9606066845763902
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2030-12-31,forecast,0.6780310724850858,0.36369063658332185,0.9695892437243564
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2031-03-31,forecast,0.6793629421124164,0.35672296782336826,0.9783618223086171
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2031-06-30,forecast,0.6804545947728938,0.34994971317225276,0.9869399867840395
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2031-09-30,forecast,0.6812740015376043,0.3433571394150564,0.9953374703655428
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2031-12-31,forecast,0.6817891334776339,0.33693305784446825,1.0
RTT % within 18 weeks (performance),Incomplete RTT pathways - % within 18 weeks,2032-03-31,forecast,0.6819679616640691,0.33066659149136424,1.0
A&E 12-hour decisions to admit (breach flow),number_of_patients_spending_12_hours_from_decision_to_admit_to_admission,2021-01-01,history,5534.0,,
A&E 12-hour decisions to admit (breach flow),number_of_patients_spending_12_hours_from_decision_to_admit_to_admission,2021-04-01,history,2510.0,,
A&E 12-hour decisions to admit (breach flow),number_of_patients_spending_12_hours_from_decision_to_admit_to_admission,2021-07-01,history,10019.0,,
A&E 12-hour decisions to admit (breach flow),number_of_patients_spending_12_hours_from_decision_to_admit_to_admission,2021-10-01,history,30563.0,,
